ds,unique_id,y
2002-01-01,% WEIGHTED ILI,-0.4214987224127662
2002-01-01,%UNWEIGHTED ILI,-0.472441872277234
2002-01-01,AGE 0-4,-0.981641233615668
2002-01-01,AGE 5-24,-0.6926205859124571
2002-01-01,ILITOTAL,-0.8196952362829489
2002-01-01,NUM. OF PROVIDERS,-1.1512740369618364
2002-01-01,OT,-1.385708511633556
2002-01-08,% WEIGHTED ILI,-0.3312386658433012
2002-01-08,%UNWEIGHTED ILI,-0.4291538400557142
2002-01-08,AGE 0-4,-0.9342133409093636
2002-01-08,AGE 5-24,-0.6768371694392556
2002-01-08,ILITOTAL,-0.7967032914092204
2002-01-08,NUM. OF PROVIDERS,-1.0884579236543517
2002-01-08,OT,-1.3429389173890878
2002-01-15,% WEIGHTED ILI,-0.3427634790580451
2002-01-15,%UNWEIGHTED ILI,-0.503817441195722
2002-01-15,AGE 0-4,-0.9534662478495468
2002-01-15,AGE 5-24,-0.6754237291580734
2002-01-15,ILITOTAL,-0.8068108613778643
2002-01-15,NUM. OF PROVIDERS,-0.995246916810987
2002-01-15,OT,-1.3162177545839908
2002-01-22,% WEIGHTED ILI,-0.1997824924963272
2002-01-22,%UNWEIGHTED ILI,-0.3979086044337582
2002-01-22,AGE 0-4,-0.9130821015847724
2002-01-22,AGE 5-24,-0.636082974665168
2002-01-22,ILITOTAL,-0.7598273218532885
2002-01-22,NUM. OF PROVIDERS,-0.9304044772677768
2002-01-22,OT,-1.2504725056345185
2002-01-29,% WEIGHTED ILI,-0.21842581224795185
2002-01-29,%UNWEIGHTED ILI,-0.35454237223431906
2002-01-29,AGE 0-4,-0.8684717074550802
2002-01-29,AGE 5-24,-0.6021604079167946
2002-01-29,ILITOTAL,-0.7256170850363397
2002-01-29,NUM. OF PROVIDERS,-0.8371934704244122
2002-01-29,OT,-1.181873328109363
2002-02-05,% WEIGHTED ILI,-0.12965624388929828
2002-02-05,%UNWEIGHTED ILI,-0.2649251975388644
2002-02-05,AGE 0-4,-0.8384183893045507
2002-02-05,AGE 5-24,-0.5826078173604404
2002-02-05,ILITOTAL,-0.6902961262448146
2002-02-05,NUM. OF PROVIDERS,-0.7946406194741805
2002-02-05,OT,-1.1545752609061188
2002-02-12,% WEIGHTED ILI,-0.20025488766696686
2002-02-12,%UNWEIGHTED ILI,-0.2832935034634514
2002-02-12,AGE 0-4,-0.8553233807642235
2002-02-12,AGE 5-24,-0.6059295819999472
2002-02-12,ILITOTAL,-0.7045133675193908
2002-02-12,NUM. OF PROVIDERS,-0.8088249031242577
2002-02-12,OT,-1.1796706022255277
2002-02-19,% WEIGHTED ILI,-0.272392888121375
2002-02-19,%UNWEIGHTED ILI,-0.33433202238541193
2002-02-19,AGE 0-4,-0.8783329524732227
2002-02-19,AGE 5-24,-0.6075785956613264
2002-02-19,ILITOTAL,-0.7189527531888821
2002-02-19,NUM. OF PROVIDERS,-0.8108512293599829
2002-02-19,OT,-1.179207330511864
2002-02-26,% WEIGHTED ILI,-0.10264827171962253
2002-02-26,%UNWEIGHTED ILI,-0.2395188936015453
2002-02-26,AGE 0-4,-0.863306293397958
2002-02-26,AGE 5-24,-0.6518663911383695
2002-02-26,ILITOTAL,-0.7476093801329496
2002-02-26,NUM. OF PROVIDERS,-0.8189565343028843
2002-02-26,OT,-1.3321918877296612
